Column A,Column B
<div>Which of the following is a method for establishing EME contacts?</div><div>BR</div> <div>A. Time-synchronous transmissions alternating between stations</div><div>BR</div> <div>B. Storing and forwarding digital messages</div><div>BR</div> <div>C. Judging optimum transmission times by monitoring beacons reflected from the moon</div><div>BR</div> <div>D. High-speed CW identification to avoid fading</div><div>BR</div>,"<div>Which of the following is a method for establishing EME contacts?</div><div>BR</div> <div><font color=""#000000"">A. Time-synchronous transmissions alternating between stations</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Storing and forwarding digital messages</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Judging optimum transmission times by monitoring beacons reflected from the moon</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. High-speed CW identification to avoid fading</font></div><div>BR</div>"
<div>What digital protocol is used by APRS?</div><div>BR</div> <div>A. PACTOR</div><div>BR</div> <div>B. QAM</div><div>BR</div> <div>C. AX.25</div><div>BR</div> <div>D. AMTOR</div><div>BR</div>,"<div>What digital protocol is used by APRS?</div><div>BR</div> <div><font color=""#d5dbdb"">A. PACTOR</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. QAM</font></div><div>BR</div> <div><font color=""#000000"">C. AX.25</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. AMTOR</font></div><div>BR</div>"
<div>What type of packet frame is used to transmit APRS beacon data?</div><div>BR</div> <div>A. Acknowledgement</div><div>BR</div> <div>B. Burst</div><div>BR</div> <div>C. Unnumbered Information</div><div>BR</div> <div>D. Connect</div><div>BR</div>,"<div>What type of packet frame is used to transmit APRS beacon data?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Acknowledgement</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Burst</font></div><div>BR</div> <div><font color=""#000000"">C. Unnumbered Information</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Connect</font></div><div>BR</div>"
<div>What type of modulation is used by JT65?</div><div>BR</div> <div>A. Multitone AFSK</div><div>BR</div> <div>B. PSK</div><div>BR</div> <div>C. RTTY</div><div>BR</div> <div>D. QAM</div><div>BR</div>,"<div>What type of modulation is used by JT65?</div><div>BR</div> <div><font color=""#000000"">A. Multitone AFSK</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. PSK</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. RTTY</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. QAM</font></div><div>BR</div>"
"<div>What does the packet path WIDE3-1 designate?</div><div>BR</div> <div>A. Three stations are allowed on frequency, one transmitting at a time</div><div>BR</div> <div>B. Three subcarriers are permitted, subcarrier one is being used</div><div>BR</div> <div>C. Three digipeater hops are requested with one remaining</div><div>BR</div> <div>D. Three internet gateway stations may receive one transmission</div><div>BR</div>","<div>What does the packet path WIDE3-1 designate?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Three stations are allowed on frequency, one transmitting at a time</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Three subcarriers are permitted, subcarrier one is being used</font></div><div>BR</div> <div><font color=""#000000"">C. Three digipeater hops are requested with one remaining</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Three internet gateway stations may receive one transmission</font></div><div>BR</div>"
<div>How do APRS stations relay data?</div><div>BR</div> <div>A. By packet ACK/NAK relay</div><div>BR</div> <div>B. By C4FM repeaters</div><div>BR</div> <div>C. By DMR repeaters </div><div>BR</div> <div>D. By packet digipeaters</div><div>BR</div>,"<div>How do APRS stations relay data?</div><div>BR</div> <div><font color=""#d5dbdb"">A. By packet ACK/NAK relay</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. By C4FM repeaters</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. By DMR repeaters </font></div><div>BR</div> <div><font color=""#000000"">D. By packet digipeaters</font></div><div>BR</div>"
<div>Which of the following types of modulation is used for data emissions below 30 MHz?</div><div>BR</div> <div>A. DTMF tones modulating an FM signal</div><div>BR</div> <div>B. FSK</div><div>BR</div> <div>C. Pulse modulation</div><div>BR</div> <div>D. Spread spectrum</div><div>BR</div>,"<div>Which of the following types of modulation is used for data emissions below 30 MHz?</div><div>BR</div> <div><font color=""#d5dbdb"">A. DTMF tones modulating an FM signal</font></div><div>BR</div> <div><font color=""#000000"">B. FSK</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Pulse modulation</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Spread spectrum</font></div><div>BR</div>"
<div>Which of the following synchronizes WSJT-X digital mode transmit/receive timing?</div><div>BR</div> <div>A. Alignment of frequency shifts</div><div>BR</div> <div>B. Synchronization of computer clocks</div><div>BR</div> <div>C. Sync-field transmission</div><div>BR</div> <div>D. Sync-pulse timing</div><div>BR</div>,"<div>Which of the following synchronizes WSJT-X digital mode transmit/receive timing?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Alignment of frequency shifts</font></div><div>BR</div> <div><font color=""#000000"">B. Synchronization of computer clocks</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Sync-field transmission</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Sync-pulse timing</font></div><div>BR</div>"
"<div>To what does the ""4"" in FT4 refer?</div><div>BR</div> <div>A. Multiples of 4 bits of user information</div><div>BR</div> <div>B. Four-tone continuous-phase frequency shift keying</div><div>BR</div> <div>C. Four transmit/receive cycles per minute</div><div>BR</div> <div>D. All these choices are correct</div><div>BR</div>","<div>To what does the ""4"" in FT4 refer?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Multiples of 4 bits of user information</font></div><div>BR</div> <div><font color=""#000000"">B. Four-tone continuous-phase frequency shift keying</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Four transmit/receive cycles per minute</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. All these choices are correct</font></div><div>BR</div>"
<div>Which of the following is characteristic of the FST4 mode?</div><div>BR</div> <div>A. Four-tone Gaussian frequency shift keying</div><div>BR</div> <div>B. Variable transmit/receive periods</div><div>BR</div> <div>C. Seven different tone spacings</div><div>BR</div> <div>D. All these choices are correct</div><div>BR</div>,"<div>Which of the following is characteristic of the FST4 mode?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Four-tone Gaussian frequency shift keying</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Variable transmit/receive periods</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Seven different tone spacings</font></div><div>BR</div> <div><font color=""#000000"">D. All these choices are correct</font></div><div>BR</div>"
<div>Which of these digital modes does not support keyboard-to-keyboard operation?</div><div>BR</div> <div>A. WSPR</div><div>BR</div> <div>B. RTTY</div><div>BR</div> <div>C. PSK31</div><div>BR</div> <div>D. MFSK16</div><div>BR</div>,"<div>Which of these digital modes does not support keyboard-to-keyboard operation?</div><div>BR</div> <div><font color=""#000000"">A. WSPR</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. RTTY</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. PSK31</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. MFSK16</font></div><div>BR</div>"
<div>What is the length of an FT8 transmission cycle?</div><div>BR</div> <div>A. It varies with the amount of data</div><div>BR</div> <div>B. 8 seconds</div><div>BR</div> <div>C. 15 seconds</div><div>BR</div> <div>D. 30 seconds</div><div>BR</div>,"<div>What is the length of an FT8 transmission cycle?</div><div>BR</div> <div><font color=""#d5dbdb"">A. It varies with the amount of data</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. 8 seconds</font></div><div>BR</div> <div><font color=""#000000"">C. 15 seconds</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. 30 seconds</font></div><div>BR</div>"
<div>How does Q65 differ from JT65?</div><div>BR</div> <div>A. Keyboard-to keyboard operation is supported</div><div>BR</div> <div>B. Quadrature modulation is used</div><div>BR</div> <div>C. Multiple receive cycles are averaged</div><div>BR</div> <div>D. All these choices are correct</div><div>BR</div>,"<div>How does Q65 differ from JT65?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Keyboard-to keyboard operation is supported</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Quadrature modulation is used</font></div><div>BR</div> <div><font color=""#000000"">C. Multiple receive cycles are averaged</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. All these choices are correct</font></div><div>BR</div>"
<div>Which of the following HF digital modes can be used to transfer binary files?</div><div>BR</div> <div>A. PSK31</div><div>BR</div> <div>B. PACTOR</div><div>BR</div> <div>C. RTTY</div><div>BR</div> <div>D. AMTOR</div><div>BR</div>,"<div>Which of the following HF digital modes can be used to transfer binary files?</div><div>BR</div> <div><font color=""#d5dbdb"">A. PSK31</font></div><div>BR</div> <div><font color=""#000000"">B. PACTOR</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. RTTY</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. AMTOR</font></div><div>BR</div>"
<div>Which of the following HF digital modes uses variable-length character coding?</div><div>BR</div> <div>A. RTTY</div><div>BR</div> <div>B. PACTOR</div><div>BR</div> <div>C. MT63</div><div>BR</div> <div>D. PSK31</div><div>BR</div>,"<div>Which of the following HF digital modes uses variable-length character coding?</div><div>BR</div> <div><font color=""#d5dbdb"">A. RTTY</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. PACTOR</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. MT63</font></div><div>BR</div> <div><font color=""#000000"">D. PSK31</font></div><div>BR</div>"
"<div>Which of these digital modes has the narrowest bandwidth?</div><div>BR</div> <div>A. MFSK16</div><div>BR</div> <div>B. 170 Hz shift, 45-baud RTTY</div><div>BR</div> <div>C. FT8</div><div>BR</div> <div>D. PACTOR IV</div><div>BR</div>","<div>Which of these digital modes has the narrowest bandwidth?</div><div>BR</div> <div><font color=""#d5dbdb"">A. MFSK16</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. 170 Hz shift, 45-baud RTTY</font></div><div>BR</div> <div><font color=""#000000"">C. FT8</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. PACTOR IV</font></div><div>BR</div>"
<div>What is the difference between direct FSK and audio FSK?</div><div>BR</div> <div>A. Direct FSK modulates the transmitter VFO</div><div>BR</div> <div>B. Direct FSK occupies less bandwidth</div><div>BR</div> <div>C. Direct FSK can transmit higher baud rates</div><div>BR</div> <div>D. All these choices are correct</div><div>BR</div>,"<div>What is the difference between direct FSK and audio FSK?</div><div>BR</div> <div><font color=""#000000"">A. Direct FSK modulates the transmitter VFO</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Direct FSK occupies less bandwidth</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Direct FSK can transmit higher baud rates</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. All these choices are correct</font></div><div>BR</div>"
"<div>How do ALE stations establish contact?</div><div>BR</div> <div>A. ALE constantly scans a list of frequencies, activating the radio when the designated call sign is received</div><div>BR</div> <div>B. ALE radios monitor an internet site for the frequency they are being paged on</div><div>BR</div> <div>C. ALE radios send a constant tone code to establish a frequency for future use</div><div>BR</div> <div>D. ALE radios activate when they hear their signal echoed by back scatter</div><div>BR</div>","<div>How do ALE stations establish contact?</div><div>BR</div> <div><font color=""#000000"">A. ALE constantly scans a list of frequencies, activating the radio when the designated call sign is received</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. ALE radios monitor an internet site for the frequency they are being paged on</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. ALE radios send a constant tone code to establish a frequency for future use</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. ALE radios activate when they hear their signal echoed by back scatter</font></div><div>BR</div>"
"<div>Which of these digital modes has the highest data throughput under clear communication conditions?</div><div>BR</div> <div>A. MFSK16</div><div>BR</div> <div>B. 170 Hz shift, 45 baud RTTY</div><div>BR</div> <div>C. FT8</div><div>BR</div> <div>D. PACTOR IV</div><div>BR</div>","<div>Which of these digital modes has the highest data throughput under clear communication conditions?</div><div>BR</div> <div><font color=""#d5dbdb"">A. MFSK16</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. 170 Hz shift, 45 baud RTTY</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. FT8</font></div><div>BR</div> <div><font color=""#000000"">D. PACTOR IV</font></div><div>BR</div>"
"<div>What is the approximate maximum separation measured along the surface of the Earth between two stations communicating by EME?</div><div>BR</div> <div>A. 2,000 miles, if the moon is at perigee</div><div>BR</div> <div>B. 2,000 miles, if the moon is at apogee</div><div>BR</div> <div>C. 5,000 miles, if the moon is at perigee</div><div>BR</div> <div>D. 12,000 miles, if the moon is “visible” by both stations</div><div>BR</div>","<div>What is the approximate maximum separation measured along the surface of the Earth between two stations communicating by EME?</div><div>BR</div> <div><font color=""#d5dbdb"">A. 2,000 miles, if the moon is at perigee</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. 2,000 miles, if the moon is at apogee</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. 5,000 miles, if the moon is at perigee</font></div><div>BR</div> <div><font color=""#000000"">D. 12,000 miles, if the moon is “visible” by both stations</font></div><div>BR</div>"
"<div>What characterizes libration fading of an EME signal?</div><div>BR</div> <div>A. A slow change in the pitch of the CW signal</div><div>BR</div> <div>B. A fluttery, irregular fading</div><div>BR</div> <div>C. A gradual loss of signal as the sun rises</div><div>BR</div> <div>D. The returning echo is several hertz lower in frequency than the transmitted signal</div><div>BR</div>","<div>What characterizes libration fading of an EME signal?</div><div>BR</div> <div><font color=""#d5dbdb"">A. A slow change in the pitch of the CW signal</font></div><div>BR</div> <div><font color=""#000000"">B. A fluttery, irregular fading</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. A gradual loss of signal as the sun rises</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. The returning echo is several hertz lower in frequency than the transmitted signal</font></div><div>BR</div>"
"<div>When scheduling EME contacts, which of these conditions will generally result in the least path loss?</div><div>BR</div> <div>A. When the Moon is at perigee</div><div>BR</div> <div>B. When the Moon is full</div><div>BR</div> <div>C. When the Moon is at apogee</div><div>BR</div> <div>D. When the MUF is above 30 MHz</div><div>BR</div>","<div>When scheduling EME contacts, which of these conditions will generally result in the least path loss?</div><div>BR</div> <div><font color=""#000000"">A. When the Moon is at perigee</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. When the Moon is full</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. When the Moon is at apogee</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. When the MUF is above 30 MHz</font></div><div>BR</div>"
<div>In what direction does an electromagnetic wave travel?</div><div>BR</div> <div>A. It depends on the phase angle of the magnetic field</div><div>BR</div> <div>B. It travels parallel to the electric and magnetic fields</div><div>BR</div> <div>C. It depends on the phase angle of the electric field</div><div>BR</div> <div>D. It travels at a right angle to the electric and magnetic fields</div><div>BR</div>,"<div>In what direction does an electromagnetic wave travel?</div><div>BR</div> <div><font color=""#d5dbdb"">A. It depends on the phase angle of the magnetic field</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. It travels parallel to the electric and magnetic fields</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. It depends on the phase angle of the electric field</font></div><div>BR</div> <div><font color=""#000000"">D. It travels at a right angle to the electric and magnetic fields</font></div><div>BR</div>"
<div>How are the component fields of an electromagnetic wave oriented?</div><div>BR</div> <div>A. They are parallel</div><div>BR</div> <div>B. They are tangential</div><div>BR</div> <div>C. They are at right angles</div><div>BR</div> <div>D. They are 90 degrees out of phase</div><div>BR</div>,"<div>How are the component fields of an electromagnetic wave oriented?</div><div>BR</div> <div><font color=""#d5dbdb"">A. They are parallel</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. They are tangential</font></div><div>BR</div> <div><font color=""#000000"">C. They are at right angles</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. They are 90 degrees out of phase</font></div><div>BR</div>"
<div>What should be done to continue a long-distance contact when the MUF for that path decreases due to darkness?</div><div>BR</div> <div>A. Switch to a higher frequency HF band</div><div>BR</div> <div>B. Switch to a lower frequency HF band</div><div>BR</div> <div>C. Change to an antenna with a higher takeoff angle</div><div>BR</div> <div>D. Change to an antenna with greater beam width</div><div>BR</div>,"<div>What should be done to continue a long-distance contact when the MUF for that path decreases due to darkness?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Switch to a higher frequency HF band</font></div><div>BR</div> <div><font color=""#000000"">B. Switch to a lower frequency HF band</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Change to an antenna with a higher takeoff angle</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Change to an antenna with greater beam width</font></div><div>BR</div>"
<div>Atmospheric ducts capable of propagating microwave signals often form over what geographic feature?</div><div>BR</div> <div>A. Mountain ranges</div><div>BR</div> <div>B. Stratocumulus clouds</div><div>BR</div> <div>C. Large bodies of water</div><div>BR</div> <div>D. Nimbus clouds</div><div>BR</div>,"<div>Atmospheric ducts capable of propagating microwave signals often form over what geographic feature?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Mountain ranges</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Stratocumulus clouds</font></div><div>BR</div> <div><font color=""#000000"">C. Large bodies of water</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Nimbus clouds</font></div><div>BR</div>"
"<div>When a meteor strikes the Earth’s atmosphere, a linear ionized region is formed at what region of the ionosphere?</div><div>BR</div> <div>A. The E region</div><div>BR</div> <div>B. The F1 region</div><div>BR</div> <div>C. The F2 region</div><div>BR</div> <div>D. The D region</div><div>BR</div>","<div>When a meteor strikes the Earth’s atmosphere, a linear ionized region is formed at what region of the ionosphere?</div><div>BR</div> <div><font color=""#000000"">A. The E region</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. The F1 region</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. The F2 region</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. The D region</font></div><div>BR</div>"
<div>Which of the following frequency ranges is most suited for meteor-scatter communications?</div><div>BR</div> <div>A. 1.8 MHz - 1.9 MHz</div><div>BR</div> <div>B. 10 MHz - 14 MHz</div><div>BR</div> <div>C. 28 MHz - 148 MHz</div><div>BR</div> <div>D. 220 MHz - 450 MHz</div><div>BR</div>,"<div>Which of the following frequency ranges is most suited for meteor-scatter communications?</div><div>BR</div> <div><font color=""#d5dbdb"">A. 1.8 MHz - 1.9 MHz</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. 10 MHz - 14 MHz</font></div><div>BR</div> <div><font color=""#000000"">C. 28 MHz - 148 MHz</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. 220 MHz - 450 MHz</font></div><div>BR</div>"
<div>What determines the speed of electromagnetic waves through a medium?</div><div>BR</div> <div>A. Resistance and reactance</div><div>BR</div> <div>B. Evanescence</div><div>BR</div> <div>C. Birefringence</div><div>BR</div> <div>D. The index of refraction</div><div>BR</div>,"<div>What determines the speed of electromagnetic waves through a medium?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Resistance and reactance</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Evanescence</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Birefringence</font></div><div>BR</div> <div><font color=""#000000"">D. The index of refraction</font></div><div>BR</div>"
"<div>What is a typical range for tropospheric duct propagation of microwave signals?</div><div>BR</div> <div>A. 10 miles to 50 miles</div><div>BR</div> <div>B. 100 miles to 300 miles</div><div>BR</div> <div>C. 1,200 miles</div><div>BR</div> <div>D. 2,500 miles</div><div>BR</div>","<div>What is a typical range for tropospheric duct propagation of microwave signals?</div><div>BR</div> <div><font color=""#d5dbdb"">A. 10 miles to 50 miles</font></div><div>BR</div> <div><font color=""#000000"">B. 100 miles to 300 miles</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. 1,200 miles</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. 2,500 miles</font></div><div>BR</div>"
<div>What is most likely to result in auroral propagation?</div><div>BR</div> <div>A. Meteor showers</div><div>BR</div> <div>B. Quiet geomagnetic conditions</div><div>BR</div> <div>C. Severe geomagnetic storms</div><div>BR</div> <div>D. Extreme low-pressure areas in polar regions</div><div>BR</div>,"<div>What is most likely to result in auroral propagation?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Meteor showers</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Quiet geomagnetic conditions</font></div><div>BR</div> <div><font color=""#000000"">C. Severe geomagnetic storms</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Extreme low-pressure areas in polar regions</font></div><div>BR</div>"
<div>Which of these emission modes is best for auroral propagation?</div><div>BR</div> <div>A. CW</div><div>BR</div> <div>B. SSB</div><div>BR</div> <div>C. FM</div><div>BR</div> <div>D. RTTY</div><div>BR</div>,"<div>Which of these emission modes is best for auroral propagation?</div><div>BR</div> <div><font color=""#000000"">A. CW</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. SSB</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. FM</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. RTTY</font></div><div>BR</div>"
<div>What are circularly polarized electromagnetic waves?</div><div>BR</div> <div>A. Waves with an electric field bent into a circular shape</div><div>BR</div> <div>B. Waves with rotating electric and magnetic fields</div><div>BR</div> <div>C. Waves that circle Earth</div><div>BR</div> <div>D. Waves produced by a loop antenna</div><div>BR</div>,"<div>What are circularly polarized electromagnetic waves?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Waves with an electric field bent into a circular shape</font></div><div>BR</div> <div><font color=""#000000"">B. Waves with rotating electric and magnetic fields</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Waves that circle Earth</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Waves produced by a loop antenna</font></div><div>BR</div>"
"<div>Where is transequatorial propagation (TEP) most likely to occur?</div><div>BR</div> <div>A. Between points separated by 2,000 miles to 3,000 miles over a path perpendicular to the geomagnetic equator</div><div>BR</div> <div>B. Between points located 1,500 miles to 2,000 miles apart on the geomagnetic equator</div><div>BR</div> <div>C. Between points located at each other’s antipode</div><div>BR</div> <div>D. Through the region where the terminator crosses the geographic equator</div><div>BR</div>","<div>Where is transequatorial propagation (TEP) most likely to occur?</div><div>BR</div> <div><font color=""#000000"">A. Between points separated by 2,000 miles to 3,000 miles over a path perpendicular to the geomagnetic equator</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Between points located 1,500 miles to 2,000 miles apart on the geomagnetic equator</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Between points located at each other’s antipode</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Through the region where the terminator crosses the geographic equator</font></div><div>BR</div>"
"<div>What is the approximate maximum range for signals using transequatorial propagation?</div><div>BR</div> <div>A. 1,000 miles</div><div>BR</div> <div>B. 2,500 miles</div><div>BR</div> <div>C. 5,000 miles</div><div>BR</div> <div>D. 7,500 miles</div><div>BR</div>","<div>What is the approximate maximum range for signals using transequatorial propagation?</div><div>BR</div> <div><font color=""#d5dbdb"">A. 1,000 miles</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. 2,500 miles</font></div><div>BR</div> <div><font color=""#000000"">C. 5,000 miles</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. 7,500 miles</font></div><div>BR</div>"
<div>At what time of day is transequatorial propagation most likely to occur?</div><div>BR</div> <div>A. Morning</div><div>BR</div> <div>B. Noon</div><div>BR</div> <div>C. Afternoon or early evening</div><div>BR</div> <div>D. Late at night</div><div>BR</div>,"<div>At what time of day is transequatorial propagation most likely to occur?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Morning</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Noon</font></div><div>BR</div> <div><font color=""#000000"">C. Afternoon or early evening</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Late at night</font></div><div>BR</div>"
"<div>What are “extraordinary” and “ordinary” waves?</div><div>BR</div> <div>A. Extraordinary waves exhibit rare long-skip propagation, compared to ordinary waves, which travel shorter distances</div><div>BR</div> <div>B. Independently propagating, elliptically polarized waves created in the ionosphere</div><div>BR</div> <div>C. Long-path and short-path waves</div><div>BR</div> <div>D. Refracted rays and reflected waves</div><div>BR</div>","<div>What are “extraordinary” and “ordinary” waves?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Extraordinary waves exhibit rare long-skip propagation, compared to ordinary waves, which travel shorter distances</font></div><div>BR</div> <div><font color=""#000000"">B. Independently propagating, elliptically polarized waves created in the ionosphere</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Long-path and short-path waves</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Refracted rays and reflected waves</font></div><div>BR</div>"
<div>Which of the following paths is most likely to support long-distance propagation on 160 meters?</div><div>BR</div> <div>A. A path entirely in sunlight</div><div>BR</div> <div>B. Paths at high latitudes</div><div>BR</div> <div>C. A direct north-south path</div><div>BR</div> <div>D. A path entirely in darkness</div><div>BR</div>,"<div>Which of the following paths is most likely to support long-distance propagation on 160 meters?</div><div>BR</div> <div><font color=""#d5dbdb"">A. A path entirely in sunlight</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Paths at high latitudes</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. A direct north-south path</font></div><div>BR</div> <div><font color=""#000000"">D. A path entirely in darkness</font></div><div>BR</div>"
<div>On which of the following amateur bands is long-path propagation most frequent?</div><div>BR</div> <div>A. 160 meters and 80 meters</div><div>BR</div> <div>B. 40 meters and 20 meters</div><div>BR</div> <div>C. 10 meters and 6 meters</div><div>BR</div> <div>D. 6 meters and 2 meters</div><div>BR</div>,"<div>On which of the following amateur bands is long-path propagation most frequent?</div><div>BR</div> <div><font color=""#d5dbdb"">A. 160 meters and 80 meters</font></div><div>BR</div> <div><font color=""#000000"">B. 40 meters and 20 meters</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. 10 meters and 6 meters</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. 6 meters and 2 meters</font></div><div>BR</div>"
<div>What effect does lowering a signal’s transmitted elevation angle have on ionospheric HF skip propagation?</div><div>BR</div> <div>A. Faraday rotation becomes stronger</div><div>BR</div> <div>B. The MUF decreases</div><div>BR</div> <div>C. The distance covered by each hop increases</div><div>BR</div> <div>D. The critical frequency increases</div><div>BR</div>,"<div>What effect does lowering a signal’s transmitted elevation angle have on ionospheric HF skip propagation?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Faraday rotation becomes stronger</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. The MUF decreases</font></div><div>BR</div> <div><font color=""#000000"">C. The distance covered by each hop increases</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. The critical frequency increases</font></div><div>BR</div>"
<div>How does the maximum range of ground-wave propagation change when the signal frequency is increased?</div><div>BR</div> <div>A. It stays the same</div><div>BR</div> <div>B. It increases</div><div>BR</div> <div>C. It decreases</div><div>BR</div> <div>D. It peaks at roughly 8 MHz</div><div>BR</div>,"<div>How does the maximum range of ground-wave propagation change when the signal frequency is increased?</div><div>BR</div> <div><font color=""#d5dbdb"">A. It stays the same</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. It increases</font></div><div>BR</div> <div><font color=""#000000"">C. It decreases</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. It peaks at roughly 8 MHz</font></div><div>BR</div>"
